date_availability_produit,nom,reference,prix_ttc,Taxe,categorie,prix_achat
05/05/2026,T-Shirt Premium,P_01,"199,1","11,54%",Habillement,"116,55"
06/05/2026,Pantalon Cargo,P_02,"241,58","20,00%",Électronique,"143,37"
05/05/2026,Chaussures Running,P_03,"299,29","16,25%",Maison,"180,65"
06/05/2026,Casquette Urban,P_04,"232,14","8,75%",Sport,"154,6"
05/05/2026,Montre Connectée,P_05,"155,06","5,50%",Accessoires,"85,49"
06/05/2026,Sac à Dos,P_06,"71,96","11,54%",Habillement,"44,57"
05/05/2026,Écouteurs Bluetooth,P_07,"107,42","20,00%",Électronique,"65,22"
06/05/2026,Lampe LED,P_08,"144,31","16,25%",Maison,"107,22"
05/05/2026,Bouteille Isotherme,P_09,"189,89","8,75%",Sport,"107,79"
06/05/2026,Tapis Yoga,P_10,"62,19","5,50%",Accessoires,"40,28"
05/05/2026,Short Sport,P_11,"48,69","11,54%",Habillement,"27,09"
06/05/2026,Chemise Classique,P_12,"168,78","20,00%",Électronique,"89,65"
05/05/2026,Clavier Mécanique,P_13,"203,7","16,25%",Maison,"151,34"
06/05/2026,Souris Gaming,P_14,"86,98","8,75%",Sport,"50,76"
05/05/2026,Chargeur USB-C,P_15,"152,82","5,50%",Accessoires,"81,97"
06/05/2026,Ballon Football,P_16,"147,12","11,54%",Habillement,"78,79"
05/05/2026,Raquette Tennis,P_17,"179,06","20,00%",Électronique,"109,56"
06/05/2026,Serviette Sport,P_18,"74,21","16,25%",Maison,"44,3"
05/05/2026,Lunettes Soleil,P_19,"183,05","8,75%",Sport,"103,62"
06/05/2026,Portefeuille Cuir,P_20,"140,57","5,50%",Accessoires,"100,43"
05/05/2026,Enceinte Portable,P_21,"273,11","11,54%",Habillement,"148,26"
06/05/2026,Powerbank FastCharge,P_22,"236,19","20,00%",Électronique,"160,5"
05/05/2026,Coussin Déco,P_23,"187,66","16,25%",Maison,"123,56"
06/05/2026,Mug Thermique,P_24,"146,86","8,75%",Sport,"97,92"
05/05/2026,Ceinture Cuir,P_25,"22,31","5,50%",Accessoires,"11,58"
06/05/2026,Chaussettes Sport,P_26,"279,25","11,54%",Habillement,"198,65"
05/05/2026,Casque Audio,P_27,"269,63","20,00%",Électronique,135
06/05/2026,Ventilateur USB,P_28,"142,23","16,25%",Maison,"99,89"
05/05/2026,Horloge Murale,P_29,"47,67","8,75%",Sport,"30,51"
06/05/2026,Gants Fitness,P_30,"88,14","5,50%",Accessoires,"59,04"
